19:00:43 - 開始處理語言: zh-CN
19:00:43 - 目標業態: enterprises, public_sector, training_institutions
19:00:43 - 來源檔案: i18n_output/zh-CN_tobemodified.xlsx
19:00:43 - 開始讀取 Excel 檔案: i18n_output/zh-CN_tobemodified.xlsx
19:00:43 - 發現欄位: ['檔案類型', '檔案路徑', '項目ID', '項目內容', '敏感詞', '敏感詞分類', '企業_替換方案', '企業_替換結果', '公部門_替換方案', '公部門_替換結果', '培訓機構_替換方案', '培訓機構_替換結果']
19:00:43 - 開始解析 Excel 修正資料
19:00:43 - 跳過空白替換結果 - 企業: 助教
19:00:43 - 跳過空白替換結果 - 公部門: 助教
19:00:43 - 跳過空白替換結果 - 培訓機構: 助教
19:00:43 - 跳過空白替換結果 - 企業: 複製公告內容到其他課程。教師或助教編輯、刪除本公告時，不會同時異動其他課程中的公告
19:00:43 - 跳過空白替換結果 - 公部門: 複製公告內容到其他課程。教師或助教編輯、刪除本公告時，不會同時異動其他課程中的公告
19:00:43 - 跳過空白替換結果 - 培訓機構: 複製公告內容到其他課程。教師或助教編輯、刪除本公告時，不會同時異動其他課程中的公告
19:00:43 - 跳過空白替換結果 - 企業: 無法新增助教
19:00:43 - 跳過空白替換結果 - 公部門: 無法新增助教
19:00:43 - 跳過空白替換結果 - 培訓機構: 無法新增助教
19:00:43 - 跳過空白替換結果 - 企業: 樣板課程非正式課程，功用是作為標準課程的模板。教師於樣板課程中編制完課程內容後，可複製內容至自己教授的其他課程中。
19:00:43 - 跳過空白替換結果 - 公部門: 樣板課程非正式課程，功用是作為標準課程的模板。教師於樣板課程中編制完課程內容後，可複製內容至自己教授的其他課程中。
19:00:43 - 跳過空白替換結果 - 培訓機構: 樣板課程非正式課程，功用是作為標準課程的模板。教師於樣板課程中編制完課程內容後，可複製內容至自己教授的其他課程中。
19:00:43 - 跳過空白替換結果 - 企業: 是否確認設置助教？
19:00:43 - 跳過空白替換結果 - 公部門: 是否確認設置助教？
19:00:43 - 跳過空白替換結果 - 培訓機構: 是否確認設置助教？
19:00:43 - 跳過空白替換結果 - 企業: 助教設置成功
19:00:43 - 跳過空白替換結果 - 公部門: 助教設置成功
19:00:43 - 跳過空白替換結果 - 培訓機構: 助教設置成功
19:00:43 - 跳過空白替換結果 - 企業: 助教取消成功
19:00:43 - 跳過空白替換結果 - 公部門: 助教取消成功
19:00:43 - 跳過空白替換結果 - 培訓機構: 助教取消成功
19:00:43 - 跳過空白替換結果 - 企業: 注：助教默認可查看課程中的內容，勾選則可進行管理
19:00:43 - 跳過空白替換結果 - 公部門: 注：助教默認可查看課程中的內容，勾選則可進行管理
19:00:43 - 跳過空白替換結果 - 培訓機構: 注：助教默認可查看課程中的內容，勾選則可進行管理
19:00:43 - 跳過空白替換結果 - 企業: 學生助教
19:00:43 - 跳過空白替換結果 - 公部門: 學生助教
19:00:43 - 跳過空白替換結果 - 培訓機構: 學生助教
19:00:43 - 跳過空白替換結果 - 企業: 設置助教權限
19:00:43 - 跳過空白替換結果 - 公部門: 設置助教權限
19:00:43 - 跳過空白替換結果 - 培訓機構: 設置助教權限
19:00:43 - 跳過空白替換結果 - 企業: 邀請機構內人員成為助教
19:00:43 - 跳過空白替換結果 - 公部門: 邀請機構內人員成為助教
19:00:43 - 跳過空白替換結果 - 培訓機構: 邀請機構內人員成為助教
19:00:43 - 跳過空白替換結果 - 企業: (限教師與管理者編輯排程，若您是助教，請聯繫課程教師)
19:00:43 - 跳過空白替換結果 - 公部門: (限教師與管理者編輯排程，若您是助教，請聯繫課程教師)
19:00:43 - 跳過空白替換結果 - 培訓機構: (限教師與管理者編輯排程，若您是助教，請聯繫課程教師)
19:00:43 - 跳過空白替換結果 - 企業: 課程教師、助教與指定為發布對象的分組或學生，才可查看本公告
19:00:43 - 跳過空白替換結果 - 公部門: 課程教師、助教與指定為發布對象的分組或學生，才可查看本公告
19:00:43 - 跳過空白替換結果 - 培訓機構: 課程教師、助教與指定為發布對象的分組或學生，才可查看本公告
19:00:43 - 跳過空白替換結果 - 企業: authz.courseRoleName.assistant
19:00:43 - 跳過空白替換結果 - 公部門: authz.courseRoleName.assistant
19:00:43 - 跳過空白替換結果 - 培訓機構: authz.courseRoleName.assistant
19:00:43 - 跳過空白替換結果 - 企業: authz.courseRoleName.studentAssistant
19:00:43 - 跳過空白替換結果 - 公部門: authz.courseRoleName.studentAssistant
19:00:43 - 跳過空白替換結果 - 培訓機構: authz.courseRoleName.studentAssistant
19:00:43 - 跳過空白替換結果 - 企業: teachingTeam.courseRoles.student_assistant
19:00:43 - 跳過空白替換結果 - 公部門: teachingTeam.courseRoles.student_assistant
19:00:43 - 跳過空白替換結果 - 培訓機構: teachingTeam.courseRoles.student_assistant
