11:01:42 - 開始處理語言: zh-CN (包容關係相容版本)
11:01:42 - 目標業態: enterprises, public_sector, training_institutions
11:01:42 - 來源檔案: i18n_output/zh-CN_tobemodified.xlsx
11:01:42 - 開始讀取 Excel 檔案: i18n_output/zh-CN_tobemodified.xlsx
11:01:42 - 發現欄位: ['檔案類型', '檔案路徑', '項目ID', '項目內容', '敏感詞', '敏感詞分類', '匹配位置', '企業_替換方案', '企業_替換結果', '公部門_替換方案', '公部門_替換結果', '培訓機構_替換方案', '培訓機構_替換結果']
11:01:42 - 發現新增的調試欄位: ['匹配位置', '敏感詞分類']
11:01:42 - 業態替換結果欄位: ['企業_替換結果', '公部門_替換結果', '培訓機構_替換結果']
11:01:42 - 開始解析 Excel 修正資料
11:01:42 - 調試信息 - 匹配位置: 0-2
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: 助教
11:01:42 - 跳過空白替換結果 - 公部門: 助教
11:01:42 - 跳過空白替換結果 - 培訓機構: 助教
11:01:42 - 調試信息 - 匹配位置: 15-17
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: 複製公告內容到其他課程。教師或助教編輯、刪除本公告時，不會同時異動其他課程中的公告
11:01:42 - 跳過空白替換結果 - 公部門: 複製公告內容到其他課程。教師或助教編輯、刪除本公告時，不會同時異動其他課程中的公告
11:01:42 - 跳過空白替換結果 - 培訓機構: 複製公告內容到其他課程。教師或助教編輯、刪除本公告時，不會同時異動其他課程中的公告
11:01:42 - 調試信息 - 匹配位置: 4-6
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: 無法新增助教
11:01:42 - 跳過空白替換結果 - 公部門: 無法新增助教
11:01:42 - 跳過空白替換結果 - 培訓機構: 無法新增助教
11:01:42 - 調試信息 - 匹配位置: 48-50
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: 樣板課程非正式課程，功用是作為標準課程的模板。教師於樣板課程中編制完課程內容後，可複製內容至自己教授的其他課程中。
11:01:42 - 跳過空白替換結果 - 公部門: 樣板課程非正式課程，功用是作為標準課程的模板。教師於樣板課程中編制完課程內容後，可複製內容至自己教授的其他課程中。
11:01:42 - 跳過空白替換結果 - 培訓機構: 樣板課程非正式課程，功用是作為標準課程的模板。教師於樣板課程中編制完課程內容後，可複製內容至自己教授的其他課程中。
11:01:42 - 調試信息 - 匹配位置: 6-8
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: 是否確認設置助教？
11:01:42 - 跳過空白替換結果 - 公部門: 是否確認設置助教？
11:01:42 - 跳過空白替換結果 - 培訓機構: 是否確認設置助教？
11:01:42 - 調試信息 - 匹配位置: 0-2
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: 助教設置成功
11:01:42 - 跳過空白替換結果 - 公部門: 助教設置成功
11:01:42 - 跳過空白替換結果 - 培訓機構: 助教設置成功
11:01:42 - 調試信息 - 匹配位置: 0-2
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: 助教取消成功
11:01:42 - 跳過空白替換結果 - 公部門: 助教取消成功
11:01:42 - 跳過空白替換結果 - 培訓機構: 助教取消成功
11:01:42 - 調試信息 - 匹配位置: 2-4
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: 注：助教默認可查看課程中的內容，勾選則可進行管理
