11:21:10 - 開始處理語言: zh-MO (包容關係相容版本)
11:21:10 - 目標業態: enterprises, public_sector, training_institutions
11:21:10 - 來源檔案: i18n_output/zh-MO_tobemodified.xlsx
11:21:10 - 開始讀取 Excel 檔案: i18n_output/zh-MO_tobemodified.xlsx
11:21:10 - 發現欄位: ['檔案類型', '檔案路徑', '項目ID', '項目內容', '敏感詞', '敏感詞分類', '企業_替換方案', '企業_替換結果', '公部門_替換方案', '公部門_替換結果', '培訓機構_替換方案', '培訓機構_替換結果']
11:21:10 - 發現新增的調試欄位: ['敏感詞分類']
11:21:10 - 業態替換結果欄位: ['企業_替換結果', '公部門_替換結果', '培訓機構_替換結果']
11:21:10 - 開始解析 Excel 修正資料
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: Student
11:21:10 - 跳過空白替換結果 - 公部門: Student
11:21:10 - 跳過空白替換結果 - 培訓機構: Student
11:21:10 - 調試信息 - 敏感詞分類: 師資相關
11:21:10 - PO 更新 - 企業: EducationalAdmin → 這是對的
11:21:10 - 跳過空白替換結果 - 公部門: EducationalAdmin
11:21:10 - 跳過空白替換結果 - 培訓機構: EducationalAdmin
11:21:10 - 調試信息 - 敏感詞分類: 時間相關
11:21:10 - 跳過空白替換結果 - 企業: 添加學期
11:21:10 - 跳過空白替換結果 - 公部門: 添加學期
11:21:10 - 跳過空白替換結果 - 培訓機構: 添加學期
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 添加班級
11:21:10 - 跳過空白替換結果 - 公部門: 添加班級
11:21:10 - 跳過空白替換結果 - 培訓機構: 添加班級
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: attachment_edit_allow_download
11:21:10 - 跳過空白替換結果 - 公部門: attachment_edit_allow_download
11:21:10 - 跳過空白替換結果 - 培訓機構: attachment_edit_allow_download
11:21:10 - 調試信息 - 敏感詞分類: 學員相關
11:21:10 - 跳過空白替換結果 - 企業: 非本課程修課學生
11:21:10 - 跳過空白替換結果 - 公部門: 非本課程修課學生
11:21:10 - 跳過空白替換結果 - 培訓機構: 非本課程修課學生
11:21:10 - 調試信息 - 敏感詞分類: 師資相關
11:21:10 - 跳過空白替換結果 - 企業: 複製公告內容到其他課程。教師或助教編輯、刪除本公告時，不會同時異動其他課程中的公告
11:21:10 - 跳過空白替換結果 - 公部門: 複製公告內容到其他課程。教師或助教編輯、刪除本公告時，不會同時異動其他課程中的公告
